Mae,Turma,Código,Nome da Disciplina,CH,TEO,Professor,DiaSemana,Turno,Tipo
# >>>>>>>>>> CC1P12 (NOITE) <<<<<<<<<<,,,,,,,,,
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,3,Engenharia De Requisitos,30,"1,5",José Carlos,Ter,1º,T
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,4,Interface Humano-Computador,30,"1,5",José Carlos,Ter,2º,T
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,5,Desen Para Dispositivos Moveis,90,0,Wellington,Seg,Pré,P
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,5,Desen Para Dispositivos Moveis,90,0,Wellington,Seg,1º,P
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,5,Desen Para Dispositivos Moveis,90,0,Wellington,Seg,2º,P
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,5,Desen Para Dispositivos Moveis,90,0,Rafael,Seg,Pré,P
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,5,Desen Para Dispositivos Moveis,90,0,Rafael,Seg,1º,P
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,5,Desen Para Dispositivos Moveis,90,0,Rafael,Seg,2º,P
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,5,Desen Para Dispositivos Moveis,90,0,Vinícius,Seg,Pré,P
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,5,Desen Para Dispositivos Moveis,90,0,Vinícius,Seg,1º,P
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,5,Desen Para Dispositivos Moveis,90,0,Vinícius,Seg,2º,P
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,6,Topicos De Ambiente Web,30,"1,5",Francisco,Sex,1º,T
SI1,SI1P12,88,Projeto E Desenvolvimento 1 – SI,30,"1,5",Francisco,Sex,2º,T
CC1,CC1P12 / CC1Q12 ,8,Projeto E Desenvolvimento 1 - Cc,30,"1,5",Francisco,Sex,2º,T
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,2,Programação Web Responsiva,60,0,Karem,Qua,1º,T
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,2,Programação Web Responsiva,60,0,Karem,Qua,2º,T
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,2,Programação Web Responsiva,60,0,Rafael,Qua,1º,T
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,2,Programação Web Responsiva,60,0,Rafael,Qua,2º,T
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,2,Programação Web Responsiva,60,0,Elisa,Qua,1º,T
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,2,Programação Web Responsiva,60,0,Elisa,Qua,2º,T
CC1,CC1P12 / CC1Q12 ,1,Física Para Computação,30,"1,5",Célia,Qui,1º,T
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,7,Topicos De Matematica Aplicada,30,"1,5",Célia,Qui,2º,T
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,9,Interpretação E Prod Textos,,,*,Sex,Pré,EAD
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,10,Direitos Humanos,,,*,Sex,Pré,EAD
CC1 / SI1P,CC1P12 / CC1Q12 / SI1P12,11,Atividade De Extensão 1 - Cc,,,*,Sex,Pré,EAD
# >>>>>>>>>> CC3P12 / SI3P12 (NOITE) <<<<<<<<<<,,,,,,,,,
CC3 / SI3,CC2P12 / CC3P12 / CC3Q12 /  SI2P12 / SI3P12,J13B,Banco de Dados,90,30,Perini,Seg,2º,P
